"","phoneme","grapheme"
"1","@","a"
"2","@","a_e"
"3","@","ai"
"4","@","au"
"5","@","aha"
"6","5","ei"
"7","5","eigh"
"8","5","ey"
"9","5","i"
"10","5","i_e"
"11","5","ia"
"12","5","ie"
"13","5","igh"
"14","5","igh_e"
"15","5","y"
"16","5","y_e"
"17","5","ye"
"18","5","eye"
"19","5","uy"
"20","O","au"
"21","O","ou"
"22","O","ou_e"
"23","O","ough"
"24","O","ow"
"25","O","ow_e"
"26","O","owe"
"27","a","a"
"28","a","aa"
"29","a","awe"
"30","a","oa"
"31","a","a_e"
"32","a","ach"
"33","a","ah"
"34","a","au"
"35","a","au_e"
"36","a","aw"
"37","a","e"
"38","a","ea"
"39","a","i"
"40","a","i_e"
"41","a","o"
"42","a","o_e"
"43","a","oh"
"44","a","ou"
"45","a","ough"
"46","a","u"
"47","b","b"
"48","b","bb"
"49","d","d"
"50","d","dd"
"51","d","ed"
"52","D","th"
"53","G","g"
"54","G","dg"
"55","8","a"
"56","8","a_e"
"57","8","ae"
"58","8","ai"
"59","8","ai_e"
"60","8","aigh"
"61","8","au_e"
"62","8","ay"
"63","8","ay_e"
"64","8","aye"
"65","8","e"
"66","8","e_e"
"67","8","ea"
"68","8","ei"
"69","8","ei_e"
"70","8","eigh"
"71","8","eighe"
"72","8","ey"
"73","8","eye"
"74","e","_e"
"75","e","a"
"76","e","aa"
"77","e","a_e"
"78","e","ae"
"79","e","ai"
"80","e","au_e"
"81","e","e"
"82","e","e_e"
"83","e","ea"
"84","e","ea_e"
"85","e","ei"
"86","e","eo"
"87","e","i"
"88","e","i_e"
"89","e","ia_e"
"90","e","ie"
"91","e","o"
"92","e","o_e"
"93","e","oi_e"
"94","e","ou"
"95","e","u"
"96","e","u_e"
"97","e","ui"
"98","e","y"
"99","e","eou"
"100","E","a"
"101","E","a_e"
"102","E","ai"
"103","E","ai_e"
"104","E","ay"
"105","E","aye"
"106","E","e"
"107","E","e_e"
"108","E","ea"
"109","E","ea_e"
"110","E","ei"
"111","E","ie"
"112","3","_e"
"113","3","a"
"114","3","au"
"115","3","e"
"116","3","e_e"
"117","3","ea"
"118","3","ea_e"
"119","3","eu"
"120","3","he"
"121","3","i"
"122","3","i_e"
"123","3","o"
"124","3","o_e"
"125","3","oa"
"126","3","ou"
"127","3","ou_e"
"128","3","u"
"129","3","u_e"
"130","3","y"
"131","3","a_e"
"132","f","f"
"133","f","ff"
"134","f","gh"
"135","f","ph"
"136","g","g"
"137","g","gg"
"138","g","gu"
"139","i","e"
"140","i","e_e"
"141","i","ea"
"142","i","ea_e"
"143","i","ee"
"144","i","ee_e"
"145","i","ei"
"146","i","ei_e"
"147","i","ey"
"148","i","eye"
"149","i","i"
"150","i","i_e"
"151","i","ie"
"152","i","ie_e"
"153","i","y"
"154","1","a"
"155","1","ai"
"156","1","a_e"
"157","1","e"
"158","1","e_e"
"159","1","ea"
"160","1","ea_e"
"161","1","ee"
"162","1","ei"
"163","1","i"
"164","1","i_e"
"165","1","ia_e"
"166","1","ie"
"167","1","ie_e"
"168","1","u"
"169","1","ui"
"170","1","y"
"171","1","y_e"
"172","j","i"
"173","j","j"
"174","j","y"
"175","j3","u"
"176","j3","u_e"
"177","ju","eu"
"178","ju","u"
"179","ju","u_e"
"180","ju","ue"
"181","ju","uu"
"182","ju","eau"
"183","ju","ew"
"184","jU","u"
"185","jU","u_e"
"186","k","c"
"187","k","ch"
"188","k","ck"
"189","k","k"
"190","k","lk"
"191","k","q"
"192","k","qu"
"193","ks","x"
"194","l","l"
"195","l","ll"
"196","m","lm"
"197","m","m"
"198","m","mb"
"199","m","mm"
"200","m","mn"
"201","n","dn"
"202","n","gn"
"203","n","n"
"204","n","nn"
"205","N","n"
"206","N","ng"
"207","N","ngu"
"208","o","au_e"
"209","o","eou"
"210","o","ew"
"211","o","ewe"
"212","o","o"
"213","o","o_e"
"214","o","oa"
"215","o","oe"
"216","o","oo"
"217","o","ou"
"218","o","ou_e"
"219","o","ow"
"220","o","owe"
"221","o","oa_e"
"222","c","a"
"223","c","a_e"
"224","c","ao"
"225","c","au"
"226","c","au_e"
"227","c","augh"
"228","c","aw"
"229","c","awe"
"230","c","eo"
"231","c","eo_e"
"232","c","o"
"233","c","o_e"
"234","c","oa"
"235","c","oa_e"
"236","c","oo"
"237","c","ou"
"238","c","ou_e"
"239","c","ough"
"240","c","oo_e"
"241","2","eu"
"242","2","oi"
"243","2","oi_e"
"244","2","oy"
"245","2","oy_e"
"246","2","oye"
"247","p","p"
"248","p","pp"
"249","r","o"
"250","r","or"
"251","r","r"
"252","r","rr"
"253","r","wr"
"254","r","ro"
"255","s","c"
"256","s","s"
"257","s","ss"
"258","s","tz"
"259","s","z"
"260","S","sh"
"261","S","s"
"262","t","bt"
"263","t","pt"
"264","t","t"
"265","t","tt"
"266","t","th"
"267","C","ch"
"268","C","tch"
"269","u","eu"
"270","u","eu_e"
"271","u","ew"
"272","u","ewe"
"273","u","ewe_e"
"274","u","o"
"275","u","o_e"
"276","u","oe"
"277","u","oo"
"278","u","oo_e"
"279","u","ooe"
"280","u","ou"
"281","u","ou_e"
"282","u","u"
"283","u","u_e"
"284","u","ua"
"285","u","ue"
"286","u","ui"
"287","u","ui_e"
"288","u","wo"
"289","U","eu"
"290","U","eu_e"
"291","U","o"
"292","U","oo"
"293","U","ou"
"294","U","ou_e"
"295","U","u"
"296","U","u_e"
"297","v","v"
"298","v","lv"
"299","^","_e"
"300","^","a"
"301","^","au_e"
"302","^","o"
"303","^","o_e"
"304","^","oe"
"305","^","oo"
"306","^","ou"
"307","^","u"
"308","^","u_e"
"309","w","o"
"310","w","u"
"311","w","w"
"312","w","wh"
"313","z","s"
"314","z","z"
"315","z","zz"
"316","Z","g"
"317","T","th"
